amount, stage_1, stage_2, subset_1, subset_2, subset_3, subset_4, round_10_time, mem_alloc_time, validate_tuples_time, merge_time, feed_bits
1100, 30.375176466666666, 0.0, 3.0, 1.1333333333333333, 1.2, 1.0, 0.00021953333333333332, 1.0000000000000002e-06, 2137.1199944, 8.133333333333334e-06, 0.0
1200, 24.096646199999995, 0.0, 1.07, 1.03, 1.17, 1.0, 0.00023610000000000002, 9.899999999999984e-07, 96.95534757, 5.13e-06, 0.0
1300, 17.91395362, 0.0, 1.01, 1.0, 1.1, 1.0, 0.0002513200000000001, 9.799999999999982e-07, 5.65124561, 3.609999999999999e-06, 0.0
1400, 12.78975391, 0.0, 1.0, 1.0, 1.03, 1.0, 0.00014698, 5.399999999999995e-07, 0.5373285300000001, 6.350000000000002e-06, 0.0
1500, 8.966415060000008, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00016517000000000005, 5.699999999999993e-07, 0.05998501000000001, 6.260000000000001e-06, 0.0
1600, 6.307087970000001, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00016829, 5.199999999999995e-07, 0.019016599999999998, 4.8299999999999995e-06, 0.0
1700, 4.3477746999999995, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0002218599999999999, 6.399999999999992e-07, 0.011626229999999993, 4.440000000000002e-06, 0.0
1800, 3.0930377899999995, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00022538, 6.599999999999991e-07, 0.00941226, 5.059999999999998e-06, 0.0
1900, 2.11529334, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00022222999999999996, 6.89999999999999e-07, 0.009106819999999995, 5.259999999999999e-06, 0.0
2000, 1.5392481499999997, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00019748999999999995, 4.399999999999997e-07, 0.0076488500000000004, 4.740000000000004e-06, 0.0
2100, 1.08584963, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00026028000000000005, 5.999999999999992e-07, 0.009734659999999996, 5.500000000000001e-06, 0.0
2200, 0.8, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00026435, 5.799999999999993e-07, 0.009914959999999997, 5.2099999999999976e-06, 0.0
2300, 0.57, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0003322, 7.199999999999989e-07, 0.01148674, 5.3900000000000035e-06, 0.0
2400, 0.49, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0002480499999999998, 5.499999999999994e-07, 0.009565719999999998, 5.21e-06, 0.0
2500, 0.42, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0002879600000000001, 6.399999999999992e-07, 0.010513590000000003, 5.450000000000004e-06, 0.0
