amount, stage_1, stage_2, subset_1, subset_2, subset_3, subset_4, round_10_time, mem_alloc_time, validate_tuples_time, merge_time, feed_bits
1100, 30.818121641509425, 0.0, 4.556603773584905, 1.1226415094339623, 1.2169811320754718, 1.028301886792453, 0.00021994339622641505, 3.7863852830188685, 17.931521896226418, 0.00017874528301886798, 0.0
1200, 24.080979516949146, 0.0, 1.0677966101694916, 1.0084745762711864, 1.0338983050847457, 1.0, 0.0002226864406779662, 3.942207652542373, 0.5431355338983049, 0.00018414406779661025, 0.0
1300, 17.90488472, 0.0, 1.01, 1.0, 1.05, 1.0, 0.00013776, 4.4649331199999995, 0.05451121, 0.00020923999999999997, 0.0
1400, 12.78975391, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00015932000000000004, 4.425687779999999, 0.02706736, 0.0002106499999999999, 0.0
1500, 8.966415060000008, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00017056999999999996, 4.448791940000001, 0.026443009999999996, 0.00021531000000000008, 0.0
1600, 6.307087970000001, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00017561999999999995, 4.594318280000002, 0.02796485999999999, 0.0002163000000000001, 0.0
1700, 4.3477746999999995, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00019282000000000004, 4.992283869999999, 0.029343309999999994, 0.00023172000000000012, 0.0
1800, 3.0930377899999995, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00019915999999999998, 5.01933405, 0.030935339999999995, 0.0002303799999999999, 0.0
1900, 2.11529334, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00020988, 4.99812264, 0.03256391999999999, 0.00022964999999999997, 0.0
2000, 1.5392481499999997, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0002051600000000001, 4.52565839, 0.03428011, 0.00022055, 0.0
2100, 1.08584963, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0002318, 4.410885350000001, 0.035978500000000004, 0.00021426999999999994, 0.0
2200, 0.8, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00023461999999999997, 4.45398429, 0.037698680000000005, 0.0002164, 0.0
2300, 0.57, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00022633000000000004, 4.524275379999999, 0.03932692000000001, 0.00022422000000000002, 0.0
2400, 0.49, 0.0, 1.0, 1.0, 1.0, 1.0, 0.00025254999999999993, 4.497480280000001, 0.04089773999999999, 0.00021812999999999995, 0.0
2500, 0.42, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0002588499999999999, 4.447792530000002, 0.042568329999999995, 0.00021438000000000004, 0.0
