T,max,min
100,0.969,0.995
200,0.957,0.994
300,0.954,0.993
400,0.955,0.991
500,0.952,0.989
600,0.949,0.987
700,0.937,0.984
800,0.934,0.980
900,0.926,0.974
1000,0.925,0.971
1100,0.917,0.950
1200,0.911,0.927
1300,0.914,0.903
1400,0.906,0.872
1500,0.892,0.851
1600,0.892,0.840
1700,0.895,0.830
1800,0.882,0.819
1900,0.877,0.809
2000,0.871,0.803
2100,0.870,0.788
2200,0.859,0.786
2300,0.850,0.783
2400,0.844,0.766
2500,0.855,0.771
2600,0.844,0.755
2700,0.835,0.747
2800,0.817,0.744
2900,0.810,0.727
3000,0.803,0.719
3100,0.803,0.714
3200,0.801,0.695
3300,0.799,0.695
3400,0.786,0.675
3500,0.776,0.670
3600,0.770,0.659
3700,0.770,0.653
3800,0.761,0.627
3900,0.749,0.608
4000,0.746,0.598
4100,0.736,0.607
4200,0.722,0.596
4300,0.709,0.575
4400,0.702,0.568
4500,0.704,0.546
4600,0.702,0.536
4700,0.705,0.533
4800,0.705,0.521
4900,0.695,0.516
5000,0.678,0.508
5100,0.693,0.493
5200,0.676,0.478
5300,0.670,0.482
5400,0.675,0.479
5500,0.667,0.474
5600,0.655,0.454
5700,0.641,0.449
5800,0.632,0.437
5900,0.620,0.431
6000,0.614,0.422
6100,0.603,0.409
6200,0.606,0.393
6300,0.596,0.386
6400,0.589,0.367
6500,0.572,0.363
6600,0.568,0.352
6700,0.569,0.346
6800,0.570,0.332
6900,0.557,0.328
7000,0.548,0.316
7100,0.541,0.306
7200,0.532,0.296
7300,0.526,0.286
7400,0.510,0.280
7500,0.507,0.266
7600,0.496,0.261
7700,0.499,0.251
7800,0.492,0.242
7900,0.489,0.234
8000,0.491,0.226
8100,0.482,0.215
8200,0.477,0.219
8300,0.462,0.225
8400,0.463,0.214
8500,0.459,0.216
8600,0.445,0.211
8700,0.441,0.204
8800,0.440,0.190
8900,0.433,0.187
9000,0.429,0.183
9100,0.421,0.177
9200,0.424,0.169
9300,0.416,0.167
9400,0.412,0.158
9500,0.412,0.167
9600,0.406,0.161
9700,0.390,0.155
9800,0.384,0.148
9900,0.382,0.144
10000,0.377,0.137
10100,0.372,0.139
10200,0.367,0.135
10300,0.368,0.133
10400,0.367,0.124
10500,0.361,0.120
10600,0.354,0.117
10700,0.350,0.103
10800,0.340,0.100
10900,0.341,0.098
11000,0.338,0.094
11100,0.344,0.093
11200,0.345,0.093
11300,0.335,0.085
11400,0.330,0.083
11500,0.317,0.075
11600,0.315,0.070
11700,0.309,0.072
11800,0.318,0.067
11900,0.301,0.067
12000,0.296,0.062
12100,0.299,0.057
12200,0.291,0.051
12300,0.288,0.048
12400,0.283,0.045
12500,0.285,0.046
